x,y
701087.0576,146916.5297
700798.3824,146416.5297
700221.0321,146416.5297
699932.357,146916.5297
700221.0321,147416.5297
700798.3824,146416.5297
701087.0576,145916.5297
700798.3824,145416.5297
700221.0321,145416.5297
699932.357,145916.5297
700221.0321,146416.5297
700798.3824,145416.5297
701087.0576,144916.5297
700798.3824,144416.5297
700221.0321,144416.5297
699932.357,144916.5297
700221.0321,145416.5297
700798.3824,144416.5297
701087.0576,143916.5297
700798.3824,143416.5297
700221.0321,143416.5297
699932.357,143916.5297
700221.0321,144416.5297
700798.3824,143416.5297
701087.0576,142916.5297
700798.3824,142416.5297
700221.0321,142416.5297
699932.357,142916.5297
700221.0321,143416.5297
700798.3824,142416.5297
701087.0576,141916.5297
700798.3824,141416.5297
700221.0321,141416.5297
699932.357,141916.5297
700221.0321,142416.5297
700798.3824,141416.5297
701087.0576,140916.5297
700798.3824,140416.5297
700221.0321,140416.5297
699932.357,140916.5297
700221.0321,141416.5297
700798.3824,140416.5297
701087.0576,139916.5297
700798.3824,139416.5297
700221.0321,139416.5297
699932.357,139916.5297
700221.0321,140416.5297
700798.3824,139416.5297
701087.0576,138916.5297
700798.3824,138416.5297
700221.0321,138416.5297
699932.357,138916.5297
700221.0321,139416.5297
700798.3824,138416.5297
701087.0576,137916.5297
700798.3824,137416.5297
700221.0321,137416.5297
699932.357,137916.5297
700221.0321,138416.5297
700798.3824,137416.5297
701087.0576,136916.5297
700798.3824,136416.5297
700221.0321,136416.5297
699932.357,136916.5297
700221.0321,137416.5297
700798.3824,136416.5297
701087.0576,135916.5297
700798.3824,135416.5297
700221.0321,135416.5297
699932.357,135916.5297
700221.0321,136416.5297
700798.3824,135416.5297
701087.0576,134916.5297
700798.3824,134416.5297
700221.0321,134416.5297
699932.357,134916.5297
700221.0321,135416.5297
700798.3824,134416.5297
701087.0576,133916.5297
700798.3824,133416.5297
700221.0321,133416.5297
699932.357,133916.5297
700221.0321,134416.5297
701664.4078,322916.5297
701953.083,322416.5297
701664.4078,321916.5297
701087.0575,321916.5297
700798.3824,322416.5297
701087.0575,322916.5297
701664.4078,321916.5297
701953.083,321416.5297
701664.4078,320916.5297
701087.0575,320916.5297
700798.3824,321416.5297
701087.0575,321916.5297
701664.4078,320916.5297
701953.083,320416.5297
701664.4078,319916.5297
701087.0575,319916.5297
700798.3824,320416.5297
701087.0575,320916.5297
701664.4078,319916.5297
701953.083,319416.5297
701664.4078,318916.5297
701087.0575,318916.5297
700798.3824,319416.5297
701087.0575,319916.5297
701664.4078,318916.5297
701953.083,318416.5297
701664.4078,317916.5297
701087.0575,317916.5297
700798.3824,318416.5297
701087.0575,318916.5297
701664.4078,317916.5297
701953.083,317416.5297
701664.4078,316916.5297
701087.0575,316916.5297
700798.3824,317416.5297
701087.0575,317916.5297
701664.4078,316916.5297
701953.083,316416.5297
701664.4078,315916.5297
701087.0575,315916.5297
700798.3824,316416.5297
